Unnamed: 0,Order,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Heating,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1461,1462,907255060,20,RL,14860,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2003,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1786,0,0,1786,2,0,3,1,Gd,6,Typ,1,Y,182,35,0,0,0,0,0,6,2008,WD ,Normal,300000
1462,1463,907260010,60,RL,11250,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,GasA,Ex,Y,1149,1141,0,2290,2,1,4,1,Gd,9,Typ,1,Y,0,0,0,0,0,0,0,5,2008,WD ,Normal,255900
1463,1464,907262030,60,RL,8158,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,884,884,0,1768,2,1,3,1,Gd,8,Typ,0,Y,0,63,0,0,0,0,0,7,2008,WD ,Normal,224900
1464,1465,907262060,60,RL,10905,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1129,1198,0,2327,2,1,4,1,Gd,9,Typ,1,Y,0,57,0,0,0,0,0,8,2008,WD ,Normal,240000
1465,1466,907262070,60,RL,7226,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,798,842,0,1640,2,1,3,1,Gd,6,Typ,0,Y,0,45,0,0,0,0,0,6,2008,WD ,Normal,183000
1466,1467,907265100,60,RL,11690,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,886,878,0,1764,2,1,3,1,Gd,7,Typ,1,Y,120,29,0,0,0,0,0,6,2008,WD ,Normal,207000
1467,1468,907285080,60,RL,8750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,Gd,Gd,PConc,GasA,Ex,Y,933,975,0,1908,2,1,4,1,Gd,8,Typ,1,Y,144,133,0,0,0,0,0,7,2008,WD ,Normal,210000
1468,1469,907290150,120,RM,4435,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,848,0,0,848,1,0,1,1,Gd,3,Typ,0,Y,140,0,0,0,0,0,0,3,2008,WD ,Normal,136500
1469,1470,907290250,120,RM,4426,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,848,0,0,848,1,0,1,1,Gd,3,Typ,0,Y,140,0,0,0,0,0,0,2,2008,WD ,Normal,145000
1470,1471,907295020,20,RL,13125,Pave,Reg,Lvl,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Ex,Y,1493,0,0,1493,2,0,3,1,Gd,7,Typ,1,Y,140,39,0,0,0,0,0,4,2008,WD ,Normal,208900
1471,1472,907295100,90,RM,10126,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,Duplex,SFoyer,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,Gd,PConc,GasA,Ex,Y,1838,0,0,1838,2,0,2,2,TA,8,Typ,0,Y,160,67,0,0,0,0,0,7,2008,WD ,Abnorml,185000
1472,1473,907405020,20,RL,9135,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1536,0,0,1536,2,0,3,1,Gd,7,Typ,0,Y,192,74,0,0,0,0,0,12,2008,WD ,Normal,214000
1473,1474,907405140,60,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,856,854,0,1710,2,1,3,1,Gd,8,Typ,0,Y,0,61,0,0,0,0,0,2,2008,WD ,Normal,208500
1474,1475,907412040,20,RL,9750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1445,0,0,1445,2,0,3,1,Gd,6,Typ,0,Y,0,35,0,0,0,0,0,6,2008,WD ,Normal,186500
1475,1476,907412070,20,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1436,0,0,1436,2,0,3,1,Gd,8,Typ,0,Y,139,98,0,0,0,0,0,4,2008,WD ,Normal,210000
1476,1477,907412080,60,RL,8320,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,770,812,0,1582,2,1,3,1,Gd,6,Typ,0,Y,0,45,0,0,0,0,0,9,2008,WD ,Normal,185900
1477,1478,907412090,20,RL,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1234,0,0,1234,2,0,3,1,Gd,7,Typ,0,Y,0,30,0,0,0,0,0,1,2008,WD ,Normal,179900
1478,1479,907418010,20,RL,11058,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1564,0,0,1564,2,0,3,1,Gd,6,Typ,0,Y,0,24,0,0,0,0,0,2,2008,WD ,Normal,218836
1479,1480,907418040,20,RL,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,1361,0,0,1361,2,0,3,1,Gd,6,Typ,0,Y,0,50,0,0,0,0,0,6,2008,WD ,Normal,193000
1480,1481,907420080,60,RL,8199,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,WdShing,Wd Shng,Gd,TA,PConc,GasA,Ex,Y,728,728,0,1456,2,1,3,1,Gd,7,Typ,1,Y,36,18,0,0,0,0,0,10,2008,WD ,Normal,189000
1481,1482,907425010,120,RM,4426,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,848,0,0,848,1,0,1,1,Gd,3,Typ,1,Y,149,0,0,0,0,0,0,5,2008,WD ,Normal,149300
1482,1483,907425015,120,RM,4426,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,848,0,0,848,1,0,1,1,Gd,3,Typ,1,Y,149,0,0,0,0,0,0,5,2008,WD ,Normal,141000
1483,1484,907425030,120,RM,4438,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,848,0,0,848,1,0,1,1,Gd,3,Typ,1,Y,149,0,0,0,0,0,0,1,2008,WD ,Normal,149000
1484,1485,907425035,120,RM,4438,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,848,0,0,848,1,0,1,1,Gd,4,Typ,1,Y,140,0,0,0,0,0,0,6,2008,ConLD,Normal,144500
1485,1486,908102030,30,RL,8777,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,1Fam,1Story,5,7,1910,1950,Gable,CompShg,MetalSd,Wd Sdng,TA,TA,CBlock,GasA,Gd,Y,796,0,0,796,1,0,2,1,TA,4,Typ,0,P,328,0,164,0,0,0,0,5,2008,WD ,Normal,85000
1486,1487,908102040,90,RL,8777,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,Duplex,1.5Fin,5,7,1900,2003,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,GasA,Gd,Y,1272,928,0,2200,2,2,4,2,TA,9,Typ,0,N,0,70,0,0,0,0,0,9,2008,WD ,Normal,145900
1487,1488,908102140,20,RL,9825,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,GasA,TA,Y,1092,0,0,1092,1,0,3,1,TA,6,Typ,0,Y,259,0,0,0,161,0,0,4,2008,COD,Abnorml,123000
1488,1489,908102260,20,RL,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,Gd,TA,CBlock,GasA,Gd,Y,1256,0,0,1256,1,1,3,1,TA,6,Typ,0,Y,736,68,0,0,0,0,0,6,2008,WD ,Normal,147500
1489,1490,908103260,85,RL,12102,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,5,5,1976,1976,Gable,CompShg,HdBoard,Plywood,TA,TA,CBlock,GasA,Ex,Y,1033,0,0,1033,1,0,3,1,TA,6,Typ,0,Y,224,0,0,0,0,0,0,4,2008,WD ,Family,165000
1490,1491,908103280,20,RL,6500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,6,1976,1976,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,GasA,TA,Y,1127,0,0,1127,1,1,3,1,TA,6,Typ,1,Y,0,0,138,0,0,0,0,5,2008,WD ,Normal,135000
1491,1492,908127120,30,RL,13907,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1940,1969,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,GasA,Ex,Y,996,0,0,996,1,0,3,1,TA,6,Typ,1,Y,144,0,0,0,0,0,0,7,2008,WD ,Normal,108000
1492,1493,908128050,85,RL,10012,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,4,5,1972,1972,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,1181,0,0,1181,2,0,3,1,TA,6,Typ,0,Y,0,0,180,0,0,0,0,4,2008,WD ,Normal,137500
1493,1494,908128110,60,RL,6931,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,GasA,Ex,Y,760,896,0,1656,2,1,3,1,Gd,7,Typ,1,Y,178,128,0,0,0,0,0,7,2008,WD ,Normal,165400
1494,1495,908151040,80,RL,9638,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,1117,0,0,1117,1,0,3,1,TA,6,Typ,1,Y,292,0,0,0,0,0,0,11,2008,WD ,Normal,147000
1495,1496,908152110,60,RL,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,7,1976,2001,Hip,CompShg,Plywood,Plywood,TA,TA,CBlock,GasA,TA,Y,684,714,0,1398,1,1,3,1,TA,6,Typ,1,Y,0,0,0,0,0,0,0,2,2008,WD ,Normal,160500
1496,1497,908152270,20,RL,7024,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Ex,Y,1132,0,0,1132,1,1,2,1,Gd,5,Typ,0,Y,252,64,0,0,0,0,0,6,2008,WD ,Normal,176000
1497,1498,908154080,20,RL,47007,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1959,1996,Gable,CompShg,Plywood,Plywood,TA,TA,Slab,GasA,TA,Y,3820,0,0,3820,3,1,5,1,Ex,11,Typ,2,Y,0,372,0,0,0,0,0,7,2008,WD ,Normal,284700
1498,1499,908154235,60,RL,63887,Pave,IR3,Bnk,AllPub,Corner,Gtl,Edwards,Feedr,Norm,1Fam,2Story,10,5,2008,2008,Hip,ClyTile,Stucco,Stucco,Ex,TA,PConc,GasA,Ex,Y,4692,950,0,5642,2,1,3,1,Ex,12,Typ,3,Y,214,292,0,0,0,480,0,1,2008,New,Partial,160000
1499,1500,908186040,180,RM,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SLvl,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,GasA,Ex,Y,1072,0,0,1072,1,0,2,1,TA,5,Typ,0,Y,0,28,0,0,0,0,0,6,2008,WD ,Normal,148000
1500,1501,908201100,90,RL,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,TA,PConc,GasA,TA,N,1152,0,0,1152,2,0,2,2,Fa,6,Typ,0,N,0,0,0,0,0,0,0,6,2008,WD ,AdjLand,82000
1501,1502,908201110,90,RL,6012,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,Fa,PConc,GasA,TA,N,1152,0,0,1152,2,0,2,2,TA,6,Typ,0,N,0,0,0,0,0,0,0,6,2008,WD ,AdjLand,82000
1502,1503,908201120,90,RL,12108,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,GasA,TA,N,1440,0,0,1440,2,0,4,2,Fa,8,Typ,0,Y,0,0,0,0,0,0,0,9,2008,WD ,Normal,118000
1503,1504,908204160,90,RL,6845,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,WdShing,Wd Shng,TA,TA,Slab,GasA,TA,N,1152,0,0,1152,2,0,2,2,TA,6,Typ,0,N,0,0,0,0,0,0,0,7,2008,WD ,Normal,82500
1504,1505,908225170,190,RL,6931,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1Story,4,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,TA,N,784,0,0,784,1,0,2,1,TA,4,Typ,0,Y,112,0,0,0,0,0,0,5,2008,WD ,Normal,91900
1505,1506,908226120,50,RL,12180,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1938,2007,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,GasA,Gd,Y,585,468,0,1053,1,1,2,1,Ex,5,Typ,0,N,42,0,0,0,0,0,0,1,2008,WD ,Family,120000
1506,1507,908250040,50,RL,8050,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,1947,1993,Gable,CompShg,MetalSd,MetalSd,TA,Gd,Slab,GasA,Gd,Y,929,208,0,1137,1,1,4,1,TA,8,Min1,0,Y,0,0,0,0,0,0,0,4,2008,WD ,Normal,96000
1507,1508,908250090,20,RL,9520,Pave,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,4,5,1953,1953,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,GasA,TA,Y,930,0,0,930,1,0,2,1,TA,5,Typ,0,Y,134,0,0,0,0,0,3000,5,2008,WD ,Normal,99000
1508,1509,908275130,50,RL,11767,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1946,1995,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,GasA,Ex,Y,768,432,0,1200,1,0,3,1,TA,6,Typ,0,Y,0,0,0,0,0,0,0,5,2008,WD ,Normal,130500
1509,1510,908275180,50,RL,8172,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,6,1954,1972,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,GasA,Ex,Y,997,473,0,1470,2,0,4,1,TA,7,Typ,0,Y,0,0,0,0,156,0,0,5,2008,WD ,Normal,135000
1510,1511,908275280,50,RL,16466,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,Gd,PConc,GasA,TA,Y,872,521,0,1393,1,1,3,1,TA,8,Typ,0,Y,121,0,0,0,265,0,0,4,2008,WD ,Normal,135500
1511,1512,908276140,80,RL,7692,Pave,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,SLvl,4,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,GasA,Gd,Y,1204,0,0,1204,1,0,3,1,TA,6,Typ,0,Y,0,0,0,0,0,0,0,11,2008,WD ,Abnorml,100000
1512,1513,909100150,30,RL,5142,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,7,1923,2008,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,GasA,TA,Y,949,343,0,1292,1,1,3,1,Gd,6,Typ,0,N,0,0,183,0,0,0,0,6,2008,WD ,Normal,108000
1513,1514,909100170,30,RL,5604,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1925,1950,Gable,CompShg,Stucco,Stucco,TA,TA,CBlock,GasA,TA,N,864,0,0,864,1,0,2,1,TA,5,Typ,0,Y,0,0,96,0,0,0,0,4,2008,WD ,Normal,98000
1514,1515,909101060,30,RL,8248,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,GasA,TA,N,864,0,0,864,1,0,2,1,TA,5,Typ,0,N,0,0,100,0,0,0,0,9,2008,WD ,Normal,67000
1515,1516,909101180,190,RL,5687,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,5,6,1912,2000,Gable,CompShg,VinylSd,VinylSd,TA,Fa,PConc,GasA,Ex,N,936,780,0,1716,2,0,6,1,Fa,9,Typ,0,N,0,184,0,0,0,0,0,3,2008,WD ,Normal,135900
1516,1517,909131170,70,RH,12155,Pave,IR1,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,2Story,6,8,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,TA,N,810,672,0,1482,2,0,4,1,Fa,7,Typ,0,P,0,0,254,0,0,0,0,3,2008,WD ,Normal,140000
1517,1518,909175050,75,RL,8400,Pave,Reg,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,GasA,Ex,Y,1052,720,420,2192,2,1,4,1,Gd,8,Typ,1,Y,262,24,0,0,0,0,0,7,2008,WD ,Normal,179500
1518,1519,909175100,50,RL,8400,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,GasA,Fa,Y,1390,304,0,1694,2,0,4,1,TA,7,Typ,1,Y,342,0,128,0,0,0,0,6,2008,WD ,Normal,136500
1519,1520,909177120,30,RL,7290,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,7,8,1921,1950,Gable,CompShg,WdShing,Wd Shng,TA,TA,BrkTil,GasA,Ex,Y,1424,0,0,1424,2,0,2,1,TA,7,Typ,1,Y,0,0,90,0,0,0,0,4,2008,WD ,Normal,168000
1520,1521,909201110,70,RH,8525,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,2Story,5,6,1911,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,GasA,TA,N,1024,940,0,1964,1,1,4,1,TA,7,Typ,0,N,0,192,0,0,0,0,0,11,2008,WD ,Abnorml,130000
1521,1522,909250040,70,RL,9842,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,5,6,1921,1998,Gable,CompShg,MetalSd,Wd Sdng,TA,TA,BrkTil,GasA,Ex,Y,990,1611,0,2601,3,1,4,1,TA,8,Typ,0,Y,183,0,301,0,0,0,0,5,2008,WD ,Normal,189000
1522,1523,909250230,90,RL,7804,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Duplex,2.5Unf,6,7,1930,1950,Gable,CompShg,Stucco,Stucco,TA,TA,BrkTil,GasA,Ex,Y,960,960,0,1920,2,2,4,2,TA,10,Typ,2,Y,248,0,121,0,0,0,0,7,2008,WD ,Abnorml,161900
1523,1524,909251080,70,RL,8969,Pave,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,6,1926,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,Ex,Y,672,644,0,1316,1,0,2,1,TA,6,Typ,1,P,0,0,0,0,192,0,0,7,2008,WD ,Normal,145000
1524,1525,909251090,70,RL,11526,Pave,IR1,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2.5Fin,6,7,1922,1994,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,Fa,Y,1423,748,384,2555,2,0,3,1,TA,11,Min1,1,Y,431,0,0,0,0,0,0,9,2008,WD ,Normal,191000
1525,1526,909252110,70,RL,15576,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7,1915,1976,Gable,CompShg,Wd Sdng,Plywood,TA,TA,BrkTil,GasA,Ex,Y,840,840,0,1680,2,0,4,1,TA,8,Typ,0,Y,0,0,160,0,0,0,0,3,2008,WD ,Normal,177000
1526,1527,909252220,50,RL,15564,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,6,6,1914,1995,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,GasA,Ex,Y,676,588,0,1264,1,0,3,1,TA,6,Typ,0,Y,424,0,0,0,0,0,400,1,2008,WD ,Normal,147500
1527,1528,909253190,30,RL,6292,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,5,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,TA,N,790,0,0,790,1,0,2,1,TA,4,Typ,0,Y,0,141,0,0,0,0,0,4,2008,WD ,Normal,91000
1528,1529,909254050,70,RL,7609,Pave,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,8,9,1925,1997,Gable,CompShg,Stucco,Stucco,Gd,Gd,PConc,GasA,Ex,Y,798,714,0,1512,2,0,3,1,Gd,7,Typ,1,P,85,16,41,0,0,0,0,6,2008,WD ,Normal,231000
1529,1530,909256060,50,RL,10480,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,GasA,Ex,Y,1166,0,473,1639,1,0,3,1,TA,6,Maj2,0,Y,0,0,0,0,0,0,0,3,2008,WD ,Normal,115000
1530,1531,909275040,70,RL,9650,Pave,IR1,HLS,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,3,1923,1950,Hip,CompShg,Wd Sdng,Plywood,TA,TA,BrkTil,GasA,TA,Y,819,784,0,1603,1,0,4,1,TA,7,Typ,1,Y,0,217,0,0,0,0,0,6,2008,WD ,Normal,138000
1531,1532,909275050,70,RL,7200,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,TA,Fa,BrkTil,GasA,TA,Y,851,651,0,1502,1,1,3,1,TA,6,Typ,1,P,0,0,112,0,0,0,0,2,2008,WD ,Normal,149000
1532,1533,909276170,70,RL,11988,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,TA,TA,CBlock,GasA,Fa,Y,849,811,0,1660,1,1,3,1,TA,6,Typ,1,Y,0,0,0,0,0,0,0,8,2008,WD ,Normal,188700
1533,1534,909277040,50,RL,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,GasA,Ex,Y,1265,673,0,1938,2,0,4,1,Gd,7,Min2,1,Y,0,40,0,0,0,0,0,7,2008,WD ,Normal,198000
1534,1535,909277070,50,RL,9260,Pave,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,1.5Fin,5,4,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,GasA,TA,Y,932,442,0,1374,1,0,3,1,TA,6,Typ,0,Y,64,0,0,0,100,0,0,3,2008,WD ,Normal,110000
